,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,1.73,3.46,1.15,0.0,0.0,0.0,0.0,0.107,0.0,7.0,54.0,1.0
1,1.46,0.0,0.48,0.0,0.0,0.0,0.48,0.97,0.0,2.43,2.43,0.48,0.0,0.0,0.0,0.488,0.244,78.0,239.0,1.0
2,0.0,0.11,0.23,0.0,0.35,0.11,0.11,0.0,0.0,3.76,1.29,0.0,0.0,0.0,0.0,0.287,0.107,64.0,509.0,1.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,4.81,0.0,0.0,0.0,0.0,0.0,0.0,16.0,72.0,1.0
4,0.38,0.38,0.0,0.0,0.0,0.0,1.54,0.0,0.0,5.4,2.31,0.0,0.38,0.0,0.0,0.261,0.0,56.0,272.0,1.0
5,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83,0.41,0.0,0.0,13.0,122.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,24.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,32.0,0.0
8,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.26,4.6,0.0,1.31,0.0,0.0,0.816,0.068,43.0,165.0,1.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,100.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.81,2.11,0.0,0.0,18.0,408.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,27.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,6.45,0.0,0.0,3.22,6.45,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.12,2.12,0.0,0.0,0.0,0.0,0.0,0.0,73.0,160.0,0.0
15,0.16,0.24,0.0,0.16,0.0,0.08,0.0,0.0,0.32,2.37,1.22,0.49,1.14,0.0,0.0,0.845,0.255,84.0,713.0,1.0
16,0.0,1.05,0.52,0.0,0.0,0.0,1.05,0.0,0.0,2.63,0.0,1.05,0.0,0.0,0.0,0.29100000000000004,0.0,43.0,120.0,1.0
